time[YYYY-MM-DD hh:mm:ss PST], fluorescence
5/31/16 20:45,6.093
5/31/16 20:55,5.543
5/31/16 21:05,5.836
5/31/16 21:15,5.458
5/31/16 21:25,5.263
5/31/16 21:35,6.178
5/31/16 21:45,7.607
5/31/16 21:55,7.363
5/31/16 22:05,6.349
5/31/16 22:15,6.874
5/31/16 22:25,6.996
5/31/16 22:35,7.399
5/31/16 22:45,6.142
5/31/16 22:55,6.142
5/31/16 23:05,5.067
5/31/16 23:15,5.018
5/31/16 23:25,5.617
5/31/16 23:35,5.8
5/31/16 23:45,6.117
5/31/16 23:55,5.507
6/1/16 0:05,5.971
6/1/16 0:15,5.824
6/1/16 0:25,6.74
6/1/16 0:35,6.252
6/1/16 0:45,6.142
6/1/16 0:55,5.995
6/1/16 1:05,5.751
6/1/16 1:15,5.983
6/1/16 1:25,6.215
6/1/16 1:35,5.702
6/1/16 1:45,6.325
6/1/16 1:55,5.641
6/1/16 2:05,5.433
6/1/16 2:15,5.519
6/1/16 2:25,5.592
6/1/16 2:35,5.543
6/1/16 2:45,5.201
6/1/16 2:55,5.311
6/1/16 3:05,5.568
6/1/16 3:15,6.166
6/1/16 3:25,5.775
6/1/16 3:35,5.055
6/1/16 3:45,5.385
6/1/16 3:55,5.36
6/1/16 4:05,5.531
6/1/16 4:15,5.446
6/1/16 4:25,6.056
6/1/16 4:35,5.8
6/1/16 4:45,5.421
6/1/16 4:55,5.482
6/1/16 5:05,5.153
6/1/16 5:15,5.116
6/1/16 5:25,4.835
6/1/16 5:35,4.396
6/1/16 5:45,4.31
6/1/16 5:55,4.762
6/1/16 6:05,4.408
6/1/16 6:15,4.713
6/1/16 6:25,4.298
6/1/16 6:35,4.969
6/1/16 6:45,4.261
6/1/16 6:55,3.639
6/1/16 7:05,3.651
6/1/16 7:15,3.37
6/1/16 7:25,3.394
6/1/16 7:35,3.394
6/1/16 7:45,3.138
6/1/16 7:55,3.321
6/1/16 8:05,2.967
6/1/16 8:15,3.138
6/1/16 8:25,2.723
6/1/16 8:35,2.308
6/1/16 8:45,2.125
6/1/16 8:55,2.332
6/1/16 9:05,2.271
6/1/16 9:15,2.112
6/1/16 9:25,2.186
6/1/16 9:35,1.929
6/1/16 9:45,2.137
6/1/16 9:55,1.758
6/1/16 10:05,2.125
6/1/16 10:15,1.709
6/1/16 10:25,2.076
6/1/16 10:35,1.929
6/1/16 10:45,2.149
6/1/16 10:55,2.149
6/1/16 11:05,2.332
6/1/16 11:15,2.161
6/1/16 11:25,2.54
6/1/16 11:35,2.222
6/1/16 11:45,1.758
6/1/16 11:55,1.917
6/1/16 12:05,2.112
6/1/16 12:15,2.027
6/1/16 12:25,2.027
6/1/16 12:35,1.734
6/1/16 12:45,2.698
6/1/16 12:55,2.405
6/1/16 13:05,3.211
